endTime,artistName,trackName,msPlayed,uri
2021-05-21 15:29,Emmit Fenn,Edge Of The Dark - LANNÉ Remix,170090,5ShjdWbCm7q7QYoAs6NDN2
2021-05-21 17:21,Joshua J,Call Me,13203,7l0bKTgyMbzfCmuaqyha75
2021-05-21 17:24,Emmit Fenn,Edge Of The Dark - LANNÉ Remix,179074,5ShjdWbCm7q7QYoAs6NDN2
2021-05-21 17:27,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),182729,5K6Ssv4Z3zRvxt0P6EKUAP
2021-05-21 17:28,Alonestar,Hands High - Alonestar Mix,23436,6CoPPUCQQNZCRNjBk4mEU7
2021-05-21 17:28,Said The Sky,We Know Who We Are,43366,0Ff3J8pmBql72dKFEHl99M
2021-05-21 17:32,Smoko Ono,You Are (feat. Corinne Bailey Rae & UMI),236487,3f0SgNOjVjUW7BTv79WgX3
2021-05-21 17:41,Diversify,Pure Victory,113267,5sYQ61s3Vkvb6MS4CI7uaF
2021-05-21 17:48,Muse,Citizen Erased (XX Anniversary RemiXX),435763,5qVuoArysTYesE6th1bG0i
2021-05-21 17:52,Static & Ben El,"Shake Ya Boom Boom (Spanglish) (ft. Chesca, Blessd, Black Eyed Peas)",211123,6nqn7oouJez4IC8WvmBsop
2021-05-21 17:55,Zara Larsson,Morning,174313,00uY4XZhrmcr3VLHvLba10
2021-05-21 17:58,Sinéad Harnett,Anymore (feat. Lucky Daye),195416,1RoMaS8tLOyCGpTzJvP4vS
2021-05-21 18:02,WONHO,Ain't About You (feat. Kiiara) - Sak Noel Remix,225436,1t8t1XBHNtI3YCmeGiVxDt
2021-05-21 18:05,Billie Marten,Human Replacement,184506,6L78b1J7w2Tn55r8dSK7cw
2021-05-21 18:09,Amorphous,Back Together,247661,1KoXAHzunI8OY34GwmnIQV
2021-05-21 18:12,Camp Kubrick,Borderline,173711,2EE9mbf0apCytvK4cq8qSl
2021-05-21 18:15,Litany,Cream,190304,2Vc313B1DORj0VRaTqio8e
2021-05-21 18:18,Mysie,In My Mind,213216,4B1aimZXPZL7PoU6KN33wP
2021-05-21 18:21,Glass Animals,Space Ghost Coast To Coast (with Bree Runway),174905,4mjV2VrBj1vAOV8dFlXs7i
2021-05-21 18:24,Charli XCX,Spinning (with Charli XCX & The 1975) (A. G. Cook Remix),174298,7zfHmKd3VpeIOJrR3p8RWE
2021-05-21 18:28,Petit Biscuit,Pick Your Battles - VIP Mix,202720,0NlhBx1zO1XubIyUYFus7n
2021-05-21 18:31,Wafia,Pick Me (feat. Rahmania Astrini),177933,7f7dNodd0c63UStsiDpHqE
2021-05-21 18:35,Lewis Watson,into the wild - piano instrumental,263861,5jAJdGwclqIgx9VkxoahLr
2021-05-21 18:41,Nicki Minaj,Seeing Green (with Drake & Lil Wayne),338135,1TZv3bujNaYz646eezRE91
2021-05-21 18:44,James Vincent McMorrow,Paradise,219147,6gOquLhQdf9qUr1NzVzuBS
2021-05-21 18:50,Lana Del Rey,Text Book,301546,4brdb8L2Cy3e9AN8IfV9l8
2021-05-21 18:53,Mike Posner,Jealousy (feat. blackbear),210518,3MxvnLsw2nx9W12svVvmyr
2021-05-21 18:57,London Grammar,Lord It's a Feeling - High Contrast Remix,229259,2a41HsQ8OyKpP3Hon5lmU2
2021-05-21 19:00,Major Lazer,Titans (feat. Sia & Labrinth) - Imanbek Remix,168217,4t97sRwzvROgOqOqIociAr
2021-05-21 19:03,Emmit Fenn,Edge Of The Dark - LANNÉ Remix,181277,5ShjdWbCm7q7QYoAs6NDN2
2021-05-21 19:05,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),134663,5K6Ssv4Z3zRvxt0P6EKUAP
2021-05-21 19:06,Alonestar,Hands High - Alonestar Mix,30228,6CoPPUCQQNZCRNjBk4mEU7
2021-05-21 19:10,Nothing But Thieves,Amsterdam,270707,454I78HEySdcHE8fcVabTb
2021-05-21 19:13,Bad Suns,This Was a Home Once,194160,7LqYqe7uhDc1pw9urRoGq6
2021-05-21 19:17,Låpsley,Falling Short,202046,4WiPFfmc0Tj20xBnCA2ndZ
2021-05-21 19:20,BØRNS,"10,000 Emerald Pools",173567,2pA4ip3VIEVcIa3qE02oAX
2021-05-21 19:23,Hippo Campus,Little Grace,184841,2zZRbwPqr0NDwOIYc3jE7T
2021-05-21 19:27,Daughter,To Belong,255752,61WG9Kz4xn03UrDkvg4vzN
2021-05-21 19:33,COIN,Malibu 1992,338875,0nMqu5vN44GNv8UOQxmBJK
2021-05-21 19:36,Hippo Campus,Golden,207488,4vBIr27NcRFBNpyIxLHZuB
2021-05-21 19:39,The Japanese House,Worms,197461,3keVhg1kzGMRfIr1boGrRJ
2021-05-21 19:43,Night Riots,Follow You,221400,0Dlx2VRyF2o95UKxRnFFl6
2021-05-21 19:46,Glass Animals,Heat Waves - Diplo Remix,141037,6A53tLi9vpLhmgaEvzRyip
2021-05-21 19:51,The 1975,I Always Wanna Die (Sometimes),312555,7iPlcFvOMOzt6v0QvcAueZ
2021-05-21 19:54,BØRNS,We Don't Care,211651,0L8xGRGBIEAUOyzvdPNCRg
2021-05-21 19:58,Sir Sly,Altar,220563,3Sdz4gU1xk9w2WdltdkWYK
2021-05-21 20:01,Daughter,The Right Way Around,159442,1X7z0UdYT4uMx2Zc4cZjap
2021-05-21 20:06,Young the Giant,Camera,310910,0GKQXFDtebJeXSPxKXxvpk
2021-05-21 20:10,Bombay Bicycle Club,Come To,263261,6bv0EXeNvAwxNAod6KlJSW
2021-05-21 20:14,Nothing But Thieves,Moral Panic,219169,1CEE8yRBUe57R4MGDquES4
2021-05-21 20:18,John Vincent III,Lost / Inside Our Minds,226491,4kCSKIFIBo9DMtslnz3tMY
2021-05-21 20:21,Nothing But Thieves,Sorry - Acoustic,213205,0Akytll1e5KvwNKvhqIZFn
2021-05-21 20:25,BØRNS,Sweet Dreams,198366,0lgScP4Sc9teQbV8TBJac6
2021-05-21 20:28,X Ambassadors,Blinding Lights,176459,1ThR3dFdiIQmBgD2P90oVV
2021-05-21 20:31,Hippo Campus,Why Even Try,216702,7hNT08Aa0p2Wpozs1tAAoN
2021-05-21 20:35,Some Sprouts,Someone You Love,202630,0JmH9PvuIDyEbaSMRO7aGL
2021-05-21 20:38,Nothing But Thieves,Particles - Piano Version,218053,38aJAzjCVhi2znvtg1zQZA
2021-05-21 20:42,The Japanese House,Follow My Girl,243480,0lCfUyNC5NAsfILnKEVj23
2021-05-21 20:44,The 1975,The 1975,94021,7dvM0LbJ4pu1tDJnCH1Ahg
2021-05-21 20:47,Daughter,No Care,172400,26Ggcaz8arFAehpsfFTiRj
2021-05-21 20:51,Of Monsters and Men,Circles,221807,4DYdrgkSWVYzo9e5RMnUMV
2021-05-21 20:54,Barrie,Darjeeling,198392,6vPmNElzvzODHP0tWu9Ayu
2021-05-21 20:59,Bombay Bicycle Club,Let You Go,286300,4ZFImojIFgUeznV4wWFHfn
2021-05-21 21:03,Nothing But Thieves,Before We Drift Away,252539,34QoWDjjWjZB4cHnJfEOpV
2021-05-21 21:04,Milky Chance,Don't Let Me Down,59345,4hoNqOv7FRMefk6yC83yqP
2021-05-21 21:06,Milky Chance,Don't Let Me Down,143591,4hoNqOv7FRMefk6yC83yqP
2021-05-21 21:10,Young the Giant,Amerika,240240,6pqKbOiVd58jcnxqIB10Ra
2021-05-21 21:15,Lewis Del Mar,Sewers,289275,4K5m5bjXjWy7O3zElyW0wT
2021-05-21 21:19,Glass Animals,Your Love (Deja Vu) - Stripped Back,248838,3RG2HiKs8nMr5j6StmLuHi
2021-05-21 21:20,Hippo Campus,Souls,13931,6EYCCC9yGn1hZBHLPslNl3
2021-05-21 21:20,BØRNS,Dug My Heart,10903,2IDaot6HBRmqldvBjCp0iA
2021-05-21 21:20,Daughter,Improve,10710,6nCEMhFH4RAIk3IctTc8BS
2021-05-21 21:21,The 1975,Surrounded By Heads And Bodies,20148,4EGVeQKn8WyzCmCx5YTIc4
2021-05-21 21:21,Nothing But Thieves,Real Love Song,48866,1Bjt6Q7U4jE5OPIZaEaDo4
2021-05-21 21:21,The Japanese House,We Talk all the Time,22126,49X4TyM1BB1Xmw4P8moJ6p
2021-05-21 21:22,Hippo Campus,Interlude,24240,18btLbmzZFaBKPohbp9svn
2021-05-21 21:25,Daughter,Smother,6925,1drUAdX3NY4dTieuxdedLY
2021-05-21 21:25,BØRNS,Holy Ghost,190917,5ho74ZlMvEbyhFutCd8SGg
2021-05-21 21:25,Toby Sebastian,Midnight,8680,4gqnJeeFu2GbOnHawPjWHn
2021-05-21 21:26,James Vincent McMorrow,I Should Go (with Kenny Beats),10744,1subuniaapYh57OR5rY7rX
2021-05-21 21:26,Dreamer Boy,Don't Be A Fool,23558,0VBB4MiCH8SgAqM8bQVxTq
2021-05-21 21:26,Wolf Alice,The Last Man On Earth,19642,2Xv7xN6e5UJxRGwPWN0vYK
2021-05-21 21:28,Nothing But Thieves,Unperson,107842,3ZsXd96biH3Imo7O8koqVj
2021-05-21 21:33,Nothing But Thieves,Amsterdam,272240,454I78HEySdcHE8fcVabTb
2021-05-21 21:36,Bad Suns,This Was a Home Once,195173,7LqYqe7uhDc1pw9urRoGq6
2021-05-21 21:39,Låpsley,Falling Short,203406,4WiPFfmc0Tj20xBnCA2ndZ
2021-05-21 21:47,BØRNS,"10,000 Emerald Pools",99050,2pA4ip3VIEVcIa3qE02oAX
2021-05-21 21:48,Frank Ocean,Chanel,49291,6Nle9hKrkL1wQpwNfEkxjh
2021-05-21 22:01,Dua Lipa,Physical,119798,0LubxpFtLMgzwe1T47bhij
2021-05-21 22:04,Demi Lovato,Sorry Not Sorry,203760,0yvPEnB032fojLfVluFjUv
2021-05-21 22:07,Ariana Grande,Into You - 3LAU Remix,197146,1cfVkL84XmRON3Gl9jDXKI
2021-05-21 22:08,Ariana Grande,One Last Time,4612,7xoUc6faLbCqZO6fQEYprd
2021-05-21 22:11,MØ,Sun In Our Eyes - Don Diablo Remix,206452,1Cfws8y490Zpsqsyeme6V1
2021-05-21 22:15,Wafia,I'm Good,217136,6ZiJwSdU9H22IVPzCVJqCf
2021-05-21 22:15,Jaden,GOKU,12664,3BgL0IcxKAd0sukooPIVhA
2021-05-21 22:20,Glass Animals,The Other Side Of Paradise,302475,0rRjGruFonCGOt0S5zAJNQ
2021-05-21 22:21,Dua Lipa,Hallucinate,55340,1nYeVF5vIBxMxfPoL0SIWg
2021-05-21 23:15,Dua Lipa,Hallucinate,153167,1nYeVF5vIBxMxfPoL0SIWg
2021-05-21 23:15,Benny Benassi,Everybody Needs A Kiss,4452,18qVzPsxKJYqHaDfO15YBY
2021-05-21 23:17,Disclosure,Magnets - A-Trak Remix,117569,2M0wZ9iOCsul9PgKCHnIWT
2021-05-21 23:21,Stefflon Don,16 Shots,224727,2169IKAivSUUFGcedGASXc
2021-05-21 23:25,Beyoncé,Naughty Girl,208573,0CPLnPUUHh44vAzDSM5ZlR
2021-05-21 23:28,San Holo,Honest - Midnight Kids Remix,224000,442VuQw3fOKwvbxYLIDAUi
2021-05-21 23:28,Tove Lo,disco tits,1547,1TIiWomS4i0Ikaf9EKdcLn
